       1.23308760e+07, 5.99658995e+07, 1.47318802e+08, 2.73525717e+08,
       4.35570346e+08, 6.29420552e+08, 8.50609040e+08, 1.09456614e+09,
       1.35681928e+09, 1.63311390e+09, 1.91948432e+09, 2.21229238e+09,
       2.50824346e+09, 2.80438951e+09, 3.09812038e+09, 3.38715056e+09,
       3.66950042e+09, 3.94347680e+09, 4.20765070e+09, 4.46083453e+09,
       4.70206294e+09, 4.93056935e+09, 5.14576689e+09, 5.34722967e+09,
       5.53467419e+09, 5.70794457e+09, 5.86699443e+09, 6.01187607e+09,
       6.14272519e+09, 6.25975062e+09, 6.36322293e+09, 6.45346522e+09,
       6.53084487e+09, 6.59576438e+09, 6.64865642e+09, 6.68997605e+09,
       6.72019583e+09, 6.73980095e+09, 6.74928485e+09, 6.74914554e+09,
       6.73988217e+09, 6.72199206e+09, 6.69596779e+09, 6.66229695e+09,
       6.62145712e+09, 6.57391820e+09, 6.52013722e+09, 6.46055992e+09,
       6.39561862e+09, 6.32573245e+09, 6.25130537e+09, 6.17272798e+09,
       6.09037457e+09, 6.00460455e+09, 5.91576338e+09, 5.82417976e+09,
       5.73016822e+09, 5.63402790e+09, 5.53604330e+09, 5.43648449e+09,
       5.33560703e+09, 5.23365316e+09, 5.13085084e+09, 5.02741545e+09,
       4.92354885e+09, 4.81944149e+09, 4.71527084e+09, 4.61120348e+09,
       4.50739414e+09, 4.40398798e+09, 4.30111849e+09, 4.19891005e+09,
       4.09747782e+09, 3.99692679e+09, 3.89735437e+09, 3.79884975e+09,
       3.70149346e+09, 3.60535899e+09, 3.51051286e+09, 3.41701452e+09,
       3.32491761e+09, 3.23426920e+09, 3.14511051e+09, 3.05747803e+09,
       2.97140278e+09, 2.88691088e+09, 2.80402423e+09, 2.72276041e+09,
       2.64313302e+09, 2.56515186e+09, 2.48882362e+09, 2.41415137e+09,
       2.34113548e+09, 2.26977339e+09, 2.20005988e+09, 2.13198760e+09,
       2.06554682e+09, 2.00072591e+09, 1.93751123e+09, 1.87588752e+09,
       1.81583800e+09, 1.75734434e+09, 1.70038704e+09, 1.64494554e+09,
       1.59099806e+09, 1.53852230e+09, 1.48749455e+09, 1.43789078e+09,
       1.38968638e+09, 1.34285609e+09, 1.29737412e+09, 1.25321455e+09,
       1.21035097e+09, 1.16875694e+09, 1.12840564e+09, 1.08927023e+09,
       1.05132393e+09, 1.01453992e+09, 9.78891190e+08, 9.44351242e+08,
       9.10893445e+08, 8.78491312e+08, 8.47118619e+08, 8.16749453e+08,
       7.87358134e+08, 7.58919123e+08, 7.31407356e+08, 7.04798061e+08,
       6.79066779e+08, 6.54189395e+08, 6.30142351e+08, 6.06902119e+08,
       5.84445953e+08, 5.62751341e+08, 5.41796123e+08, 5.21558763e+08,
       5.02018052e+08, 4.83153111e+08, 4.64943720e+08, 4.47369900e+08,
       4.30412226e+08, 4.14051664e+08, 3.98269668e+08, 3.83048136e+08,
       3.68369323e+08, 3.54216022e+08, 3.40571369e+08, 3.27418989e+08,
       3.14742904e+08, 3.02527580e+08, 2.90757856e+08, 2.79419015e+08,
       2.68496725e+08, 2.57977062e+08, 2.47846491e+08, 2.38091834e+08,
       2.28700341e+08, 2.19659584e+08, 2.10957531e+08, 2.02582476e+08,
       1.94523085e+08, 1.86768369e+08, 1.79307663e+08, 1.72130605e+08,
       1.65227196e+08, 1.58587743e+08, 1.52202807e+08, 1.46063330e+08,
       1.40160451e+08, 1.34485680e+08, 1.29030730e+08, 1.23787637e+08,
       1.18748657e+08, 1.13906334e+08, 1.09253439e+08, 1.04782978e+08,
       1.00488225e+08, 9.63626388e+07, 9.23999354e+07, 8.85940278e+07,
       8.49390378e+07, 8.14292865e+07, 7.80593091e+07, 7.48238074e+07,
       7.17176849e+07, 6.87360267e+07, 6.58740781e+07, 6.31272545e+07,
       6.04911448e+07, 5.79614945e+07, 5.55341861e+07, 5.32052723e+07,
       5.09709261e+07, 4.88274818e+07, 4.67713967e+07, 4.47992545e+07,
       4.29077704e+07, 4.10937750e+07, 3.93542246e+07, 3.76861772e+07,
       3.60868145e+07, 3.45534111e+07, 3.30833488e+07, 3.16741079e+07,
